"","text","created_at","lang"
"85","From #WashTheHate to #RacismIsAVirus to #IAmNotCOVID19, how Asian Americans are using social media to drown out bigotry. How to help https://t.co/65eeQNktcW","2020-04-11T16:31:23.000Z","en"
"86","How dare you racialize Covid-19? Why are you dehumanizing Africans? What have we done to be treated without dignity? #ShameOnYouChina !! #IAmNotCOVID19 #AfricansAreNotCOVID19 @UN @didierdrogba @setoo9 @paulpogba @hrw @Oxfam @Julius_S_Malema @Winnie_Byanyima","2020-04-10T21:07:10.000Z","en"
"87","From #WashTheHate to #RacismIsAVirus to #IAmNotCOVID19, how Asian Americans are using social media to drown out bigotry. https://t.co/ICkBoDU1G4","2020-04-10T20:59:07.000Z","en"
"88","“A string of racist run-ins in the last two weeks has given rise to hashtags — #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19 — and online forums to report incidents. Critics say President Donald Trump made things worse by calling COVID-19 the ‘Chinese virus’.” https://t.co/o9Gn5gwtrE","2020-04-10T20:25:19.000Z","en"
"89",".@Wikipedia now has an entry called ""List of incidents of xenophobia and racism related to the 2019–20 #coronavirus pandemic"". 

Nearly 50 countries have reported incidents of #AntiAsianRacism. 

#IAmNotCOVID19 #WashTheHate #RacismIsAVirus

https://t.co/gJDnCUJMyH","2020-04-09T16:36:55.000Z","en"
"90","We can't control other people's biases. 

But we CAN make sure #AAPI experiences don't get erased, and that data is collected on these incidents.

What happens to us MATTERS. Stay safe, keep alert, and REPORT.  

#IAmNotCOVID19 #RacismIsAVirus #StopAAPIHate https://t.co/WTjjZPA4bl","2020-04-09T15:05:18.000Z","en"
"92","Discrimination is not okay no matter what the cause. With tensions high from #COVID19, many Asian Americans are taking to social media with campaigns like #WashTheHate, #RacismIsAVirus, and #IAmNotCOVID19 to empower communities and fight back.

https://t.co/VOXgcPpHny","2020-04-08T17:00:26.000Z","en"
"93","@NBCNews @NBCAsianAmerica Me finding out that #IAmNotCOVID19 is an actual tag https://t.co/mGBM4Niwsz","2020-04-07T04:16:35.000Z","en"
"94","@NBCNews @NBCAsianAmerica I get #RacismIsAVirus and #IAmNotCOVID19, but #WashTheHate sounds like a reference to Chinese dry cleaners, amirite? https://t.co/UfiT5zfsjY","2020-04-07T04:15:09.000Z","en"
"95","A string of racist run-ins in the last 2 weeks has given rise to hashtags — #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19 — and online forums to report incidents. - @NBCAsianAmerica https://t.co/5UjHDgvoBD","2020-04-07T04:12:29.000Z","en"
