"","text","created_at","lang"
"151","Its completely understandable as to why there is so much discrimination towards asians.When the Wuhan people came to Shanghai (where I lived). We called them disgusting, “fucking germs coming over to infect us.” #corononavirus #CoronavirusFrance #IAmNotAVirus #JeNeSuisPasUnVirus","2020-02-06T20:29:08.000Z","en"
"152","A friendly reminder that disease outbreaks are no reason to spread racism and xenophobia. #corononavirus 
#IAmNotAVirus 

Get the facts: https://t.co/L6yZ514WwD

cc:
@Dr_Rebanal
@CAPublicHealth 
@CDPHDirector https://t.co/az9EicgTD8","2020-02-06T20:27:48.000Z","en"
"153","When I went to go donate blood they asked me if I had been out of the country in the past 4 weeks and that they’re checking because of coronavirus. 

I assumed that they were asking everyone, but nope. 

#IAmNotAVirus","2020-02-06T20:05:32.000Z","en"
"155","While it’s important to take public health seriously, we should never let fear and ignorance divide our communities. 

I stand with my Chinese neighbors, and am hopeful that our city will do the same. #IAmNotAVirus  https://t.co/nSGpOXqPg0","2020-02-06T19:44:11.000Z","en"
"156","Just been interviewed live tonight on CGTN World Insight by @tianwei on #coronavirus and Asian racism in Europe, as well stigmatization of the vulnerable within China.👇🏽

#IAmNotAVirus #ichbinkeinvirus #JeNeSuisPasUnVirus https://t.co/6wMnm555Oa","2020-02-06T19:44:03.000Z","en"
"157","@gregoireameyer
I AM NOT A VIRUS #Iamnotavirus #jenesuispasunvirus The appearance of the #coronavirus that originated in Wuhan has resulted in an outbreak of discrimination, #racism and #xenophobia directed at Asians in many countries. #saynotoracism #antiracism 🤬😡 Human https://t.co/2NgauqeaxU","2020-02-06T19:27:14.000Z","en"
"158","#IAmNotAVirus hits back at racism and xenophobia as paranoia and anti-Chinese sentiment mounts over the #coronavirus outbreak. https://t.co/OSSJ1naIOL","2020-02-06T18:40:02.000Z","en"
"159","#IAmNotAVirus hits back at racism and xenophobia as paranoia and anti-Chinese sentiment mounts over the #coronavirus outbreak.  https://t.co/1MtWMY3hdw #ঢাকা #বাংলাদেশ","2020-02-06T18:21:38.000Z","en"
"161","Pleasure weighing in on @TatianaYSanchez important story in today's @sfchronicle regarding the #epidemic of xenophobia and anti-asian racism from #coronavirus #IAmNotAVirus https://t.co/CeNZa6IG4x","2020-02-06T17:44:59.000Z","en"
"162","#CoronaVirus showed once more how people are ready to take out the racism hidden in themselves in any available opportunity

I apologize from my Chinese or Asian friends in the name of the human beings living on that planet who outspread racism

#IAmNotAVirus https://t.co/NMSiaAT53f","2020-02-06T17:35:32.000Z","en"
