"","text","created_at","lang"
"83","""During this pandemic, Asians are not only fearful of COVID-19 but also fearful when doing everyday things."" - cook and producer @missvivianwc 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/PzmJzba4wR","2020-05-06T21:00:40.000Z","en"
"85","Thank you Susan for sharing your thoughts with #WashTheHate. 💙

We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/RBWNVyfSj8","2020-05-05T19:02:11.000Z","en"
"86","“I am not a virus. I am an eternal adventurer, a bookworm, a foodie, and a friend.” - Nicole |  Paris 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/TP1jFaREzn","2020-05-05T17:09:36.000Z","en"
"88","“I am not a virus. I am a self-proclaimed traveler. I am the funnier sibling. I am chasing my dreams.” 
- Tommy 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/3a9nyhSJXt","2020-05-04T21:27:17.000Z","en"
"89","Thank you Anonymous for sharing your thoughts with #WashTheHate. 💙

#hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/6xW79kJxVp","2020-05-03T19:00:00.000Z","en"
"93","Stand in solidarity with #RacismIsAVirus during #AAPI Heritage month.

WATCH OUR VIDEO FOR HOW YOU CAN JOIN! 

#AsianamericanPacificIslanderHeritageMonth #AAPIHM #APAHM #Hateisavirus #washthehate #Iamnotavirus #becool2asians https://t.co/5tv9qCMN97","2020-05-02T05:00:32.000Z","en"
"94","Happy to celebrate May 1 as the beginning of #AsianAmericanPacificIslanderHeritage month!  #RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians⁠","2020-05-01T21:40:13.000Z","en"
"95","Now in full color racismisavirus #racismisavirus #aapiheritagemonth #apaheritagemonth #kadart #drawwithdeb #becool2asians #koreanamerican https://t.co/VCPQgTyxsk","2020-05-01T20:01:36.000Z","en"
"96","May is Asian Pacific American Heritage Month. Now more than ever, we need to be celebrating our rich, unique cultures and working together to #WashTheHate. 💙

#APAHM #AAPI #hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/YqDTq235AZ","2020-05-01T19:00:19.000Z","en"
"97","""On top of coping with the same fear and uncertainty that every American is struggling with... Asian Americans are also dealing with a huge uptick in hate crimes and racism."" - Grace &amp; Blake at @Slide_32 💙#WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/cCod6TMFO7","2020-05-01T17:36:57.000Z","en"
"98","We are committed to uniting our voices for Asian Pacific American Heritage Month. We are accepting submissions from AAPI artists to be featured on our platforms. 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians #AAPIHeritageMonth https://t.co/6Owk7SNSrJ","2020-05-01T13:32:28.000Z","en"
"99","CALL TO ACTION! Tomorrow is the start of #AAPI Heritage Month. Stand in solidarity w/ #RacismIsAVirus.  Watch our video for how to help! 

#AsianamericanPacificIslanderHeritageMonth #AAPIHM #APAHM #Hateisavirus #washthehate #Iamnotavirus #becool2asians #jackfroot #nextshark https://t.co/xlVeYzqOP4","2020-05-01T03:24:55.000Z","en"
"101","“I am not a virus. I’m a teacher, a mother, and a loving wife. I believe that everyone has a right to live &amp; love free of judgement &amp; fear. I’m a human being who has faith in all of us.” -Christine | USA

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/ubnxuaVbxs","2020-04-30T14:02:01.000Z","en"
"102","""This pandemic is affecting all of us. We're all in this together. There's no one racial group that is responsible for this. Please let's wash away the hate."" - Dr. Benjamin Chan at @ruuteprogram 💙#WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/RFhkbpIJBt","2020-04-29T19:04:56.000Z","en"
"103","“I am not a virus. I am a passionate dancer. I am an accountant. I am a strong advocate for diversity and inclusion.” - Han | Montreal 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/sSQ6wc8K0r","2020-04-29T15:33:38.000Z","en"
"104","May 1st is the start of #AsianAmericanPacificIslanderHeritage month. ⁠
We here at #RacismIsAvirus want to ask all of our Friends and Allies to create a post.  Please watch the video for how to help! 
⁠
#RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians https://t.co/gIHFJ0vkrA","2020-04-28T23:05:32.000Z","en"
"105","@dianephelan tells us how you can join the movement! May 1st is the start of #AsianPacificAmericanHeritage month. ⁠Let’s kickoff and celebrate #AAPI month with pride and solidarity.⁠ 

#RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians⁠ #Asian #AsianAmerican https://t.co/S0x8J3WCNM","2020-04-28T22:42:20.000Z","en"
"106","We are accepting art submissions to be featured on all of our platforms. 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/Cj3YMLQ5rf","2020-04-28T21:15:15.000Z","en"
"107","“I am not a virus.  People with my ethnic background are not a virus.” @jenapherzheng
Racism towards any race, pandemic or not is wrong. Your face and stories matter! #strongertogether #Hateisavirus #washthehate #becool2asians #iamnotavirus #Asianamerican #unapologeticallyAsian https://t.co/yF44DtHaZB","2020-04-28T14:36:56.000Z","en"
"108","“I am not a virus. I am a father, a gardener and a story teller.” -Mike | CT

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/cAmrNAtSsI","2020-04-28T12:12:26.000Z","en"
"109","Thank you Eddie for sharing your thoughts with #WashTheHate. 💙

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/RVnTo34MrR","2020-04-27T19:51:53.000Z","en"
"110","May 1st is the start of #AsianAmericanPacificIslanderHeritage month. ⁠Let’s kickoff and celebrate #AAPI month with pride and solidarity.⁠  Watch th⁠e video for how to help! 

#RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians⁠ https://t.co/eKNZpP7QKn","2020-04-27T14:31:45.000Z","en"
"111","Have you been targeted for anti-Asian Hate? Pls share your story for our next video! #becool2asians #racismisavirus #iamnotavirus #washthehate #hateisavirus https://t.co/NiW8A0Z55N","2020-04-26T21:19:55.000Z","en"
"112","@kellyyanghk A similar incident happened to me walking my dog only it was more violent. Will you tell your story on camera for the #becool2asians campaign?","2020-04-26T21:17:41.000Z","en"
"113","Thank you Kayla for sharing your thoughts with #WashTheHate. 💙

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/7hBXQ0xm1B","2020-04-25T19:00:00.000Z","en"
"115","THANK YOU to journalist @VickyNguyenTV for your reporting on @todayshow and @NBCNewsNow, featuring the rise of anti-Asian hate crimes amid the coronavirus. #RacismIsAVirus #WashTheHate #IAmNotCOVID19 #BeCool2Asians https://t.co/v8OBxgjOg5","2020-04-25T15:17:54.000Z","en"
"116","“I am not a virus. I am an Artist. I am a Teacher. I am Blasian. I am brave &amp; curious, yet socially awkward. I am a comic book geek and I am a parent.”
-William | Guangzhou, Guangdong Province, China

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/YfejGLZq81","2020-04-24T19:26:23.000Z","en"
"118","https://t.co/iEiPwwCgpz  Squash This Racist BS Against Asians. @realDonaldTrump is a piece of shit and NEVER should've started this. We are better than this!!!#HATEISAVIRUS #IamNotAVirus  #washthehate  #RacismIsAVirus  #becool2asians","2020-04-24T13:29:25.000Z","en"
"119","Embracing art to resist racism in the wake of Covid 19. Artist Nissa D. Tzun from @communitychange shares her artwork &amp; story. Thank you for inspiring us.

Link to the full video: https://t.co/kfObY2Fd2A

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/R07ZqL9U0B","2020-04-24T13:19:03.000Z","en"
"120","Let’s celebrate who you are. The beauty, resilience, strength, and courage inside you. 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/EOP8BhggDt","2020-04-24T01:30:10.000Z","en"
"121","“I am not a virus. I am an entrepreneur. I am a content creator. I am a son of refugees.” - Sunny

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/VV3U0qwydt","2020-04-24T01:23:21.000Z","en"
"122","DISINFECT &amp; RESPECT 🙌

#WashTheHate  #hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/jwpBzlyLbJ","2020-04-23T19:20:18.000Z","en"
"123","We stand with @Novellyorg and we are taking the pledge to stand up to racism against all communities.

#PeopleAreNotTheVirus
#IamNotAVirus 
#hateisavirus  
#washthehate  
#RacismIsAVirus  
#becool2asians https://t.co/brOLkDRmZG","2020-04-23T15:45:31.000Z","en"
"124","“I am not a virus. I am a loving son. I am a scholar. I am a soldier.” 
-Terry | Seattle, WA

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/vORUT68Smn","2020-04-23T12:56:09.000Z","en"
"125","Thank you HC for sharing your thoughts with #WashTheHate. 💙

#Hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/9ghbQVLflE","2020-04-23T00:07:22.000Z","en"
"126","Thank you Shelly for sharing your thoughts with #WashTheHate. 💙

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/d89veaqtf7","2020-04-22T01:51:25.000Z","en"
"127","The language we use can have a large effect on the biases we adopt. This is not the Chinese Virus, it's the coronavirus. It's COVID-19. Repost from @mikebowshow 💙 #WashTheHate

#Hateisavirus hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/LaB3Ajz0Sr","2020-04-21T20:34:49.000Z","en"
"129","As the U.S. fights to flatten the curve against Coronavirus cases, we're fighting the epidemic of violent attacks against Asian American families, women and children. Please stand with #ScorpionKing star @KellyHu  #becool2asians. #Arrowverse #XMen #coronavirus #Corona #COVID19 https://t.co/67Dv1GkJKT","2020-04-21T16:06:09.000Z","en"
"131","""Please show your support — whether that's through speaking up or sharing your own content related to this issue."" - Colin Buckingham 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/RPyM1XXw9V","2020-04-20T19:00:01.000Z","en"
"132","""Please do not let fear or a false sense of security make Asians the face of this invisible enemy."" - Woan Ni Wooi 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/NtGVgQo3no","2020-04-19T19:00:00.000Z","en"
"133","Raise your voice and report. #strongertogether #Hateisavirus #RacismIsAVirus #washthehate #iamnotavirus #becool2asians https://t.co/62H3UCDwr1","2020-04-19T17:29:02.000Z","en"
"134","How has your life as an Asian/Asian American been affected by COVID-19?

📹 Post a video with #WashTheHate or DM us your thoughts for us to share anonymously.

We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians","2020-04-19T00:22:28.000Z","en"
"135","""We need to wash the hate... And wash the germs!"" - Kiki Yeung and Sky Ng 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/xwfA7Auga9","2020-04-18T19:00:00.000Z","en"
"136","How has your life as an Asian/Asian American been affected by COVID-19?

📹 Post a video with #WashTheHate or DM us your thoughts for us to share anonymously.

We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians","2020-04-18T00:04:27.000Z","en"
"139","""I was born in the U.S., and America is the only home I've ever known. I don't feel safe here anymore."" - Bettina Chin Cho 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians https://t.co/UJo7VMDCwn","2020-04-17T19:05:04.000Z","en"
