"","text","created_at","lang"
"49","What you're saying to or about other people can have a more devastating effect than you realize.

Let's all think before we speak, and work to #EndBullying.

#ActToChange

https://t.co/oMlN5K6e8d","2020-01-23T20:30:31.000Z","en"
"50","#Mentoring may not always be on your priority list, but helping somebody can be a rewarding experience that will also expand your horizons.

#NationalMentoringMonth #ActToChange

https://t.co/XNk4GYBraL","2020-01-23T18:35:09.000Z","en"
"51","The effects of #Bullying can be from avoiding school to long-term impact on self-confidence.

Take the #ActToChange pledge on our website to #EndBullying👇

https://t.co/pK054pPshO https://t.co/j7RcMph4gL","2020-01-23T16:02:46.000Z","en"
"52","Participate in #NationalMentoringMonth - by being a #MentorIRL, you can help improve the life of a child who may be a victim of #bullying.

#ActToChange #AAPIYouth

https://t.co/V5y8mgTqM0","2020-01-22T16:00:33.000Z","en"
"53","Let's #ActToChange scary statistics like these and put an end to #Bullying.

Check out resources on our website, available in six different Asian languages.

#AAPI #AAPIYouth #EndBullying https://t.co/yYNyYqpQkW","2020-01-21T16:02:17.000Z","en"
"54","Today is #InternationalMentoringDay!

Are you a #MentorIRL who helps a child #FightBullying or has a mentor helped you overcome obstacles in your life? Share your mentoring stories with us and @MENTORnational today.

#ActToChange #EndBullying https://t.co/QMFZ2EV03Q","2020-01-17T17:20:10.000Z","en"
"55","Thank you @kookiedoughh for taking the #ActToChange pledge!

https://t.co/V58LZljEkI","2020-01-15T19:00:34.000Z","en"
"56","Only a third of #AAPIYouth who are being bullied report it. We must actively look for signs of #Bullying and help these students. @move_thisworld tells us where to look for these signs.

#EndBullying #ActToChange #AAPI

https://t.co/KRXmFA1xvl","2020-01-15T17:02:13.000Z","en"
"57","#DYK that 1 in 5 kids are being bullied in our schools?

Stand with #ActToChange to #StopBullying. Take our pledge on our website https://t.co/pK054pPshO https://t.co/PCDXq90xXX","2020-01-15T15:01:58.000Z","en"
"58","I pledged to stand up against bullying. Join me in the #ActToChange movement https://t.co/PJOTLjF5EC via @acttochange","2020-01-15T03:04:19.000Z","en"
"59","""While the future of the world remains unclear, we have a responsibility to ourselves &amp; others to fight for the changes we want to see today.""

Thank you @JACL_National for joining us last week on our #AAPI #DayAgainstBullying+Hate!

#ActToChange #APAHM

https://t.co/GsLZftwGUZ","2020-05-26T19:01:00.000Z","en"
"60","Thank you @kevinsxu @ModelMajorityP for featuring Chair @MaulikPancholy and our #AntiBullying work.

#APAHM #ActToChange #StopBullying 

https://t.co/N2nVdmjLYi https://t.co/poig9Kfl2A","2020-05-26T18:00:59.000Z","en"
"61","@shaunking #GeorgeFloyd repeats I can’t breathe; Where’s the compassion #LoveThyNeighbor. 
#JUSTICE4GEORGE
#IcantBREATHE2014to2020
#IcantBREATHE
#RIPEricGarner
#historyrepeats
#BlackLivesMatter
#BLM 
#BLACKandGold2020
#Acttochange
#hateisavirus
#JusticeForAhmaudArbery 
#RIPBreonnaTaylor","2020-05-26T17:49:05.000Z","en"
"62","We are so saddened and angered to see increasing cases of #Zoombombing. Using xenophobic slurs, whether in person or online, is wrong and hurtful.

#LoveIsTheAnswer #ActToChange

https://t.co/y6szwM1TpX","2020-05-26T17:01:01.000Z","en"
"63","Do you feel as #AmazinglyAsian as we do?

Let's wear our #AsianPride on our sleeves. @AMAZNHQPranav is donating 50% of proceeds from these DOOOPE hoodies to #ActToChange ✨🙌

https://t.co/NJtlspFlFP","2020-05-26T00:00:14.000Z","en"
"64","Watch Asian Influences: Standing Strong 🤩

Thank you @ABC7Chicago for highlighting the positive stories of the #AsianAmerican heroes and organizations who are stepping up and helping out during this crisis.

#ActToChange #APAHM #AAPIPower

https://t.co/5UFt15bclA","2020-05-25T23:00:17.000Z","en"
"65","This #APAHM was tough as we battled #COVID19 and #discrimination. But together in solidarity, the #AAPI community is rising above hate.

Let's finish the month strong. Support #ActToChange with a donation: https://t.co/r60SUMGBJl https://t.co/gtAohhYO0n","2020-05-25T23:00:15.000Z","en"
