"","text","created_at","lang"
"69","@SenWarren @SenSchumer @RonWyden Much needed! Thank you for your leadership! 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:28:51.000Z","en"
"71","@ItsCeliaAu #WashTheHate Stop the viral spread of racism against Asian Americans. Don’t blame an entire ethnic group of Asian Americans for #COVIDー19","2020-03-21T20:26:32.000Z","en"
"72","#WashTheHate  We need to be united against rascist. https://t.co/ys2aCUT26E","2020-03-21T20:25:18.000Z","en"
"74","@RepJoeMorelle Thank you Tops.
Thank you Wegmans.
Thank you BJs.
Thank you Rochester Public Market. 
Thank you foodlink. 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:23:49.000Z","en"
"75","@funder Agreed. 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:20:43.000Z","en"
"76","@WhiteHouse Liar. Not enough supplies to test.
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:19:54.000Z","en"
"77","People don’t realize the hurt, terror, and anxiety that comes with people attacking you just because of what you look like and what’s going on in the world. Words are painful. Whether they’re directed at you or not. 

#WashTheHate https://t.co/Nf3z5w1yeg","2020-03-21T20:19:40.000Z","en"
"78","@joncoopertweets Yes please stop. I cant watch the lies anymore. He is toxic.
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:19:11.000Z","en"
"79","@CNN And New York is leading the way! 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:18:07.000Z","en"
"82","@shannonrwatts What the ?! 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:15:33.000Z","en"
"84","@CNN Do they work? 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:14:03.000Z","en"
"85","@angry__saint Yes please.
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:13:27.000Z","en"
"87","LOVE THIS

#Asian #Americans join #WashTheHate campaign to raise awareness of #discrimination amid #coronavirus fears

#WashTheHate campaign launches to combat xenophobia toward Asian Americans.

https://t.co/UBaQbF9GHX https://t.co/r7WetnEyxC","2020-03-21T18:39:31.000Z","en"
"88","Asian and hat... got it! 🔥 

#WashTheHate https://t.co/y32NT9nEmY https://t.co/tsqgM2Je0k","2020-03-21T18:38:33.000Z","en"
"89","@NextShark This has got to stop....its going too far! PLEASE LEAVE THE #AsianAmericans ALONE! #WashTheHate #StopTheMadness","2020-03-21T18:23:57.000Z","en"
"92","Most Americans are not racist against Asian Americans. Its the people who won't drink Corona beer that are the perpetrators.  @tzima8 #washthehate https://t.co/DJ6u6PwbM0","2020-03-21T17:46:49.000Z","en"
"97","@ABC I stand with Asians. #Washthehate","2020-03-21T17:38:48.000Z","en"
"100","Not cool 2 pick on @tzima8 Mulan’s Tzi Ma Told ‘He Should Be Quarantined’ in Racist Attack #washthehate #RacismIsAVirus  https://t.co/AYrXllI832","2020-03-21T17:28:28.000Z","en"
"101","#WashTheHate everyone stay safe! https://t.co/T6XUmt5jzw","2020-03-21T17:19:46.000Z","en"
"103","The #WuFam is amazing! ❤️ join us to #WashTheHate! @TheJulieBenson @WashTheHate #WuAssassins https://t.co/Sud9cpr2K6","2020-03-21T17:06:15.000Z","en"
"104","#WashTheHate every time you wash your hands wash away the hote directed at Asians right now. If there’s time wash away some of the hate other groups experience. An American started this. We can join them. https://t.co/BkSgUdP5YI","2020-03-21T17:04:37.000Z","en"
"105","@DividingByZer0s It literally turns my stomach. It's one thing to be teased because you are ""haole"" in Hawaii. This is totally different and at the complete other end of the spectrum. It is pure hate. We have to room for that in this world, now or ever. 
#WashTheHate","2020-03-21T17:02:56.000Z","en"
"106","Love to @itsceliaau for asking me to participate in this campaign. I said ""Wash Away the Hate"" in the video but the hashtag is #washthehate. Let's take care of each other. Don't discriminate, this virus doesn't. ♥️… https://t.co/nqIJGks3cV","2020-03-21T17:01:14.000Z","en"
"108","#IamNotAVirus 
Support your local Asian businesses. Support your Asian friends. Call out the hate. Stop the violence towards the Asian American, and especially Chinese American community.  #WashTheHate https://t.co/1zp0asByYi","2020-03-21T16:52:05.000Z","en"
"110","#WashTheHate

Zero reason for this to happen. None whatsoever. 
Disgusts me to my very core that this happens to him and countless others. 

#WashTheHate!!! https://t.co/R7mfK4wheO","2020-03-21T16:48:02.000Z","en"
"111","#WashTheHate please be kind and patient..mostly stop the attacks on Chinese or any Asian Americans","2020-03-21T16:41:17.000Z","en"
"112","@ABC #WashTheHate but never let anyone tell you the #WuhanVirus did not come from CHINA 🇨🇳 Those who say it didn’t are just Chinese communist sympathizers","2020-03-21T16:41:16.000Z","en"
"114","...but putting my own health on the line doing my job of reporting. 

I know times are tough and it’s natural to want to find someone to blame, but that is NOT the answer to beating this deadly virus.

Let’s do better &amp; remember that we’re all in this together. #washthehate (3/3)","2020-03-21T16:35:29.000Z","en"
"115","@ABC Dude, try to respect the clean hands. Hate exist in minds minds. Work on a new shampoo.
#WashTheHate https://t.co/BEX36jqbQF","2020-03-21T16:33:06.000Z","en"
"116","#WashTheHate off your minds as well as washing #coronavirus off your hands. One Love! https://t.co/hyvD0jSQlC","2020-03-21T16:30:31.000Z","en"
"119","United We Stand, Divided We Fall
#FightRacism #WashTheHate #OneWorld https://t.co/VAsc3uMMkx","2020-03-21T16:24:05.000Z","en"
